type,symbol,date,detail,touches_watch
symbol_change,MAGMA / POONAWALLA,,ISIN INE511C01022 maps to 2 symbols,False
symbol_change,CAREERP / CPCAP / CPIL,,ISIN INE521J01018 maps to 3 symbols,False
symbol_change,IIFL / INDIAINFO,,ISIN INE530B01024 maps to 2 symbols,False
symbol_change,CIEINDIA / MAHINDCIE / MAHINDFORG,,ISIN INE536H01010 maps to 3 symbols,False
symbol_change,GFLLIMITED / GUJFLUORO,,ISIN INE538A01037 maps to 2 symbols,False
symbol_change,PIPAVAVDOC / PIPAVAVYD / RDEL / RNAVAL,,ISIN INE542F01012 maps to 4 symbols,False
symbol_change,AXIS-IT&T / AXISCADES,,ISIN INE555B01013 maps to 2 symbols,False
symbol_change,BIRLANU / HIL / HYDRBADIND,,ISIN INE557A01011 maps to 3 symbols,False
symbol_change,CREST / SHARRESLTD,,ISIN INE559D01011 maps to 2 symbols,False
symbol_change,URAVI / URAVIDEF,,ISIN INE568Z01015 maps to 2 symbols,False
symbol_change,ORIENTABRA / ORIENTCER,,ISIN INE569C01020 maps to 2 symbols,False
symbol_change,ARROWCOAT / ARROWGREEN,,ISIN INE570D01018 maps to 2 symbols,False
symbol_change,SENTINEL / STEL,,ISIN INE577L01016 maps to 2 symbols,False
symbol_change,GULFPETRO / SAHPETRO,,ISIN INE586G01017 maps to 2 symbols,False
symbol_change,GTECJAINX / KEERTI,,ISIN INE586X01012 maps to 2 symbols,False
symbol_change,NEYVELILIG / NLCINDIA,,ISIN INE589A01014 maps to 2 symbols,False
symbol_change,CRONIMET / METKORE,,ISIN INE592I01029 maps to 2 symbols,False
symbol_change,HGM / HOVS,,ISIN INE596H01014 maps to 2 symbols,False
symbol_change,AMJLAND / PDUMJEPULP,,ISIN INE606A01024 maps to 2 symbols,False
symbol_change,ORIENTBELL / ORIENTCERA,,ISIN INE607D01018 maps to 2 symbols,False
symbol_change,TITAGARH / TWL,,ISIN INE615H01020 maps to 2 symbols,False
symbol_change,DHANVARSHA / TRU,,ISIN INE615R01029 maps to 2 symbols,False
symbol_change,REVATHI / SEMAC,,ISIN INE617A01013 maps to 2 symbols,False
symbol_change,PATANJALI / RUCHI,,ISIN INE619A01035 maps to 2 symbols,False
symbol_change,A2ZINFRA / A2ZMES,,ISIN INE619I01012 maps to 2 symbols,False
symbol_change,FEL / FRL / PANTALOONR,,ISIN INE623B01027 maps to 3 symbols,False
symbol_change,WELENT / WELPROJ,,ISIN INE625G01013 maps to 2 symbols,False
symbol_change,UNIPHOS / UPL,,ISIN INE628A01036 maps to 2 symbols,False
symbol_change,VIDHIDYE / VIDHIING,,ISIN INE632C01026 maps to 2 symbols,False
symbol_change,KAVDEFENCE / KAVVERITEL,,ISIN INE641C01019 maps to 2 symbols,False
symbol_change,JTEKTINDIA / SONASTEER,,ISIN INE643A01035 maps to 2 symbols,False
symbol_change,ABFRL / PFRL,,ISIN INE647O01011 maps to 2 symbols,False
symbol_change,8KMILES / SECURKLOUD,,ISIN INE650K01021 maps to 2 symbols,False
symbol_change,SURAJDIAMN / WINSOMEDJ,,ISIN INE664A01015 maps to 2 symbols,False
symbol_change,SWANCORP / SWANENERGY,,ISIN INE665A01038 maps to 2 symbols,False
symbol_change,BORORENEW / BOROSIL,,ISIN INE666D01022 maps to 2 symbols,False
symbol_change,BHARATIDIL / BHARTISHIP,,ISIN INE673G01013 maps to 2 symbols,False
symbol_change,TATASPONGE / TATASTLLP,,ISIN INE674A01014 maps to 2 symbols,False
symbol_change,DEEPENR / DEEPIND,,ISIN INE677H01012 maps to 2 symbols,False
symbol_change,KEYCORPSER / KEYFINSERV,,ISIN INE681C01015 maps to 2 symbols,False
symbol_change,CEMPRO / ITDCEM,,ISIN INE686A01026 maps to 2 symbols,False
symbol_change,CAPF / FCH,,ISIN INE688I01017 maps to 2 symbols,False
symbol_change,EXCEL / LANDSMILL,,ISIN INE688J01023 maps to 2 symbols,False
symbol_change,CAMBRIDGE / XCHANGING,,ISIN INE692G01013 maps to 2 symbols,False
symbol_change,COUNCODOS / NEOCURE,,ISIN INE695B01025 maps to 2 symbols,False
symbol_change,JUBILANT / JUBLPHARMA,,ISIN INE700A01033 maps to 2 symbols,False
symbol_change,ACKRUTI / HUBTOWN,,ISIN INE703H01016 maps to 2 symbols,False
symbol_change,CINELINE / CINEPRO,,ISIN INE704H01022 maps to 2 symbols,False
symbol_change,TIPSINDLTD / TIPSMUSIC,,ISIN INE716B01029 maps to 2 symbols,False
symbol_change,EBIXFOREX / WEIZFOREX,,ISIN INE726L01019 maps to 2 symbols,False
symbol_change,SAMPANN / SEPOWER,,ISIN INE735M01018 maps to 2 symbols,False
symbol_change,ADROITINFO / SPHEREGSL,,ISIN INE737B01033 maps to 2 symbols,False
symbol_change,MODISNME / MODISONLTD,,ISIN INE737D01021 maps to 2 symbols,False
symbol_change,DUCON / DYNATECH,,ISIN INE741L01018 maps to 2 symbols,False
symbol_change,ADANIPORTS / MUNDRAPORT,,ISIN INE742F01042 maps to 2 symbols,False
symbol_change,AIONJSW / JSWISPL,,ISIN INE743C01021 maps to 2 symbols,False
symbol_change,ORIENTREF / RHIM,,ISIN INE743M01012 maps to 2 symbols,False
symbol_change,ORTINGLOBE / ORTINLAB,,ISIN INE749B01020 maps to 2 symbols,False
symbol_change,SHIV-VANI / SVOGL,,ISIN INE756B01017 maps to 2 symbols,False
