SYMBOL,latest_ISIN,reason
INFRA,INF769K01QB4,fund/ETF (INF)
INFRABEES,INF732E01268,fund/ETF (INF)
INFRAIETF,INF109KC16E5,fund/ETF (INF)
INIFTY,INF109K012R6,fund/ETF (INF)
INTERNET,INF769K01PB6,fund/ETF (INF)
INV20,INF109KB1WY5,fund/ETF (INF)
IPGETF,INF109K01FV4,fund/ETF (INF)
IPRU5008,INF109KC1E27,fund/ETF (INF)
ISENSEX,INF346A01034,fund/ETF (INF)
IT,INF174KA1GC5,fund/ETF (INF)
ITADD,INF740KA1SX1,fund/ETF (INF)
ITBEES,INF204KB15V2,fund/ETF (INF)
ITBETA,INF789F1AZD8,fund/ETF (INF)
ITETF,INF769K01KV5,fund/ETF (INF)
ITETFADD,INF740KA1SX1,fund/ETF (INF)
ITIETF,INF109KC16I6,fund/ETF (INF)
IVZINGOLD,INF205KA1BP1,fund/ETF (INF)
IVZINNIFTY,INF205K01DA9,fund/ETF (INF)
JISLDVREQS,IN9175A01010,DVR/special (IN9)
JUNIORBEES,INF732E01045,fund/ETF (INF)
KOTAKALPHA,INF174KA1IA5,fund/ETF (INF)
KOTAKBKETF,INF174K01F59,fund/ETF (INF)
KOTAKCONS,INF174KA1JE5,fund/ETF (INF)
KOTAKGOLD,INF174KA1HJ8,fund/ETF (INF)
KOTAKIT,INF174KA1GC5,fund/ETF (INF)
KOTAKLIQ,INF174KA1LV5,fund/ETF (INF)
KOTAKLOVOL,INF174KA1IY5,fund/ETF (INF)
KOTAKMID50,INF174KA1IB3,fund/ETF (INF)
KOTAKMNC,INF174KA1JF2,fund/ETF (INF)
KOTAKNIFTY,INF174K014P6,fund/ETF (INF)
KOTAKNV20,INF174K01Z71,fund/ETF (INF)
KOTAKPSUBK,INF373I01023,fund/ETF (INF)
KOTAKSILVE,INF174KA1KU9,fund/ETF (INF)
KTKNV20ETF,INF174K01Z71,fund/ETF (INF)
LICMFGOLD,INF767K01SM1,fund/ETF (INF)
LICNETFGSC,INF767K01MV5,fund/ETF (INF)
LICNETFN50,INF767K01OS7,fund/ETF (INF)
LICNETFSEN,INF767K01OT5,fund/ETF (INF)
LICNFENGP,INF767K01OS7,fund/ETF (INF)
LICNFNHGP,INF767K01PC8,fund/ETF (INF)
LICNMFET,INF767K01MV5,fund/ETF (INF)
LICNMID100,INF767K01RN1,fund/ETF (INF)
LIQGRWBEES,INF204KC1FU1,fund/ETF (INF)
LIQUID,INF769K01KS1,fund/ETF (INF)
LIQUID1,INF174KA1LV5,fund/ETF (INF)
LIQUIDADD,INF740KA1UM0,fund/ETF (INF)
LIQUIDBEES,INF732E01037,fund/ETF (INF)
LIQUIDBETF,INF0QA701854,fund/ETF (INF)
LIQUIDCASE,INF0R8F01034,fund/ETF (INF)
LIQUIDETF,INF740KA1EU7,fund/ETF (INF)
LIQUIDIETF,INF109KC1KT9,fund/ETF (INF)
LIQUIDPLUS,INF769K01MY5,fund/ETF (INF)
LIQUIDSBI,INF200KA13Z8,fund/ETF (INF)
LIQUIDSHRI,INF680P01422,fund/ETF (INF)
LOWVOL,INF769K01JU9,fund/ETF (INF)
LOWVOL1,INF174KA1IY5,fund/ETF (INF)
LOWVOLIETF,INF109KC19U5,fund/ETF (INF)
LOWVOLIWIN,INF109KB10T8,fund/ETF (INF)
LTGILTBEES,INF204KB1882,fund/ETF (INF)
LTGILTCASE,INF0R8F01133,fund/ETF (INF)
M100,INF247L01023,fund/ETF (INF)
M50,INF247L01536,fund/ETF (INF)
MAESGETF,INF769K01GS9,fund/ETF (INF)
MAFANG,INF769K01HF4,fund/ETF (INF)
MAFSETF,INF769K01HI8,fund/ETF (INF)
MAGOLDETF,INF769K01JP9,fund/ETF (INF)
MAGS813ETF,INF769K01KF8,fund/ETF (INF)
MAHKTECH,INF769K01HS7,fund/ETF (INF)
MAKEINDIA,INF769K01IB1,fund/ETF (INF)
MAM150ETF,INF769K01IC9,fund/ETF (INF)
MAMFGETF,INF769K01IB1,fund/ETF (INF)
MAN50ETF,INF769K01EG9,fund/ETF (INF)
MANUFGBEES,INF204KC1GH6,fund/ETF (INF)
MANV30F,INF769K01JU9,fund/ETF (INF)
MANXT50,INF769K01FN2,fund/ETF (INF)
