2026-05-30 20:42:33 | constructor          | INFO    | Portfolio on 2019-04-18: 5 stocks, ₹16,625 invested, ₹19,715 cash (50% allocation)
2026-05-30 20:42:44 | constructor          | INFO    | Portfolio on 2019-04-26: 5 stocks, ₹16,140 invested, ₹20,344 cash (50% allocation)
2026-05-30 20:42:54 | constructor          | INFO    | Portfolio on 2019-05-03: 5 stocks, ₹16,957 invested, ₹19,233 cash (50% allocation)
2026-05-30 20:43:04 | constructor          | INFO    | Portfolio on 2019-05-10: 5 stocks, ₹15,739 invested, ₹19,533 cash (50% allocation)
2026-05-30 20:43:15 | constructor          | INFO    | Portfolio on 2019-05-17: 5 stocks, ₹16,576 invested, ₹19,336 cash (50% allocation)
2026-05-30 20:43:26 | constructor          | INFO    | Portfolio on 2019-05-24: 4 stocks, ₹12,367 invested, ₹23,846 cash (50% allocation)
2026-05-30 20:43:36 | constructor          | INFO    | Portfolio on 2019-05-31: 4 stocks, ₹12,939 invested, ₹23,135 cash (50% allocation)
2026-05-30 20:43:47 | constructor          | INFO    | Portfolio on 2019-06-07: 4 stocks, ₹14,151 invested, ₹21,921 cash (50% allocation)
2026-05-30 20:43:58 | constructor          | INFO    | Portfolio on 2019-06-14: 5 stocks, ₹17,267 invested, ₹18,634 cash (50% allocation)
2026-05-30 20:44:08 | constructor          | INFO    | Portfolio on 2019-06-21: 5 stocks, ₹15,395 invested, ₹20,050 cash (50% allocation)
2026-05-30 20:44:19 | constructor          | INFO    | Portfolio on 2019-06-28: 5 stocks, ₹15,559 invested, ₹20,093 cash (50% allocation)
2026-05-30 20:44:29 | constructor          | INFO    | Portfolio on 2019-07-05: 5 stocks, ₹10,891 invested, ₹24,560 cash (35% allocation)
2026-05-30 20:44:41 | constructor          | INFO    | Portfolio on 2019-07-12: 5 stocks, ₹17,176 invested, ₹20,254 cash (50% allocation)
2026-05-30 20:44:52 | constructor          | INFO    | Portfolio on 2019-07-19: 5 stocks, ₹16,102 invested, ₹18,191 cash (50% allocation)
2026-05-30 20:45:02 | constructor          | INFO    | Portfolio on 2019-07-26: 4 stocks, ₹12,622 invested, ₹21,275 cash (50% allocation)
2026-05-30 20:45:14 | constructor          | INFO    | Portfolio on 2019-08-02: 3 stocks, ₹2,426 invested, ₹31,190 cash (15% allocation)
2026-05-30 20:45:24 | constructor          | INFO    | Portfolio on 2019-08-09: 3 stocks, ₹2,267 invested, ₹30,887 cash (15% allocation)
2026-05-30 20:45:35 | constructor          | INFO    | Portfolio on 2019-08-16: 2 stocks, ₹1,359 invested, ₹31,695 cash (15% allocation)
2026-05-30 20:45:46 | constructor          | INFO    | Portfolio on 2019-08-23: 3 stocks, ₹2,432 invested, ₹30,490 cash (15% allocation)
2026-05-30 20:45:57 | constructor          | INFO    | Portfolio on 2019-08-30: 3 stocks, ₹2,219 invested, ₹30,729 cash (15% allocation)
2026-05-30 20:46:08 | constructor          | INFO    | Portfolio on 2019-09-06: 5 stocks, ₹8,221 invested, ₹24,647 cash (30% allocation)
2026-05-30 20:46:19 | constructor          | INFO    | Portfolio on 2019-09-13: 5 stocks, ₹7,924 invested, ₹24,798 cash (30% allocation)
2026-05-30 20:46:30 | constructor          | INFO    | Portfolio on 2019-09-20: 5 stocks, ₹21,740 invested, ₹12,756 cash (70% allocation)
2026-05-30 20:46:41 | constructor          | INFO    | Portfolio on 2019-09-27: 5 stocks, ₹18,880 invested, ₹13,623 cash (70% allocation)
2026-05-30 20:46:52 | constructor          | INFO    | Portfolio on 2019-10-04: 5 stocks, ₹7,880 invested, ₹24,114 cash (30% allocation)
2026-05-30 20:47:04 | constructor          | INFO    | Portfolio on 2019-10-11: 5 stocks, ₹18,868 invested, ₹13,000 cash (70% allocation)
2026-05-30 20:47:16 | constructor          | INFO    | Portfolio on 2019-10-18: 5 stocks, ₹18,426 invested, ₹13,682 cash (70% allocation)
2026-05-30 20:47:27 | constructor          | INFO    | Portfolio on 2019-10-27: 5 stocks, ₹19,241 invested, ₹13,066 cash (70% allocation)
2026-05-30 20:47:38 | constructor          | INFO    | Portfolio on 2019-11-01: 5 stocks, ₹20,228 invested, ₹11,820 cash (70% allocation)
2026-05-30 20:47:50 | constructor          | INFO    | Portfolio on 2019-11-08: 5 stocks, ₹22,279 invested, ₹13,151 cash (70% allocation)
2026-05-30 20:48:01 | constructor          | INFO    | Portfolio on 2019-11-15: 5 stocks, ₹28,395 invested, ₹2,864 cash (100% allocation)
2026-05-30 20:48:12 | constructor          | INFO    | Portfolio on 2019-11-22: 5 stocks, ₹29,689 invested, ₹1,124 cash (100% allocation)
2026-05-30 20:48:23 | constructor          | INFO    | Portfolio on 2019-11-29: 5 stocks, ₹29,175 invested, ₹1,666 cash (100% allocation)
2026-05-30 20:48:34 | constructor          | INFO    | Portfolio on 2019-12-06: 5 stocks, ₹28,899 invested, ₹1,313 cash (100% allocation)
2026-05-30 20:48:46 | constructor          | INFO    | Portfolio on 2019-12-13: 5 stocks, ₹20,395 invested, ₹10,388 cash (70% allocation)
2026-05-30 20:48:57 | constructor          | INFO    | Portfolio on 2019-12-20: 5 stocks, ₹29,774 invested, ₹1,108 cash (100% allocation)
2026-05-30 20:49:08 | constructor          | INFO    | Portfolio on 2019-12-27: 5 stocks, ₹28,094 invested, ₹2,208 cash (100% allocation)
2026-05-30 20:49:20 | constructor          | INFO    | Portfolio on 2020-01-03: 5 stocks, ₹18,626 invested, ₹11,117 cash (70% allocation)
2026-05-30 20:49:31 | constructor          | INFO    | Portfolio on 2020-01-10: 4 stocks, ₹15,080 invested, ₹14,477 cash (70% allocation)
2026-05-30 20:49:43 | constructor          | INFO    | Portfolio on 2020-01-17: 5 stocks, ₹18,903 invested, ₹10,711 cash (70% allocation)
2026-05-30 20:49:54 | constructor          | INFO    | Portfolio on 2020-01-24: 5 stocks, ₹18,613 invested, ₹11,006 cash (70% allocation)
2026-05-30 20:50:06 | constructor          | INFO    | Portfolio on 2020-01-31: 4 stocks, ₹17,047 invested, ₹15,834 cash (70% allocation)
2026-05-30 20:50:17 | constructor          | INFO    | Portfolio on 2020-02-07: 4 stocks, ₹14,947 invested, ₹14,440 cash (70% allocation)
2026-05-30 20:50:29 | constructor          | INFO    | Portfolio on 2020-02-14: 4 stocks, ₹15,538 invested, ₹14,008 cash (70% allocation)
2026-05-30 20:50:41 | constructor          | INFO    | Portfolio on 2020-02-20: 5 stocks, ₹19,528 invested, ₹9,796 cash (70% allocation)
2026-05-30 20:50:52 | constructor          | INFO    | Portfolio on 2020-02-28: 5 stocks, ₹4,200 invested, ₹30,959 cash (15% allocation)
2026-05-30 20:51:04 | constructor          | INFO    | Portfolio on 2020-03-06: 5 stocks, ₹2,974 invested, ₹24,546 cash (15% allocation)
2026-05-30 20:51:16 | constructor          | INFO    | Portfolio on 2020-03-13: 3 stocks, ₹4,054 invested, ₹22,867 cash (30% allocation)
2026-05-30 20:51:27 | constructor          | INFO    | Portfolio on 2020-03-20: 5 stocks, ₹7,008 invested, ₹19,046 cash (30% allocation)
2026-05-30 20:51:37 | constructor          | INFO    | Portfolio on 2020-03-27: 3 stocks, ₹1,555 invested, ₹22,942 cash (15% allocation)
2026-05-30 20:51:47 | constructor          | INFO    | Portfolio on 2020-04-03: 3 stocks, ₹1,395 invested, ₹23,022 cash (15% allocation)
2026-05-30 20:51:56 | constructor          | INFO    | Portfolio on 2020-04-09: 3 stocks, ₹1,514 invested, ₹23,046 cash (15% allocation)
2026-05-30 20:52:06 | constructor          | INFO    | Portfolio on 2020-04-17: 4 stocks, ₹2,184 invested, ₹22,383 cash (15% allocation)
2026-05-30 20:52:17 | constructor          | INFO    | Portfolio on 2020-04-24: 4 stocks, ₹4,873 invested, ₹19,567 cash (30% allocation)
2026-05-30 20:52:29 | constructor          | INFO    | Portfolio on 2020-04-30: 4 stocks, ₹5,079 invested, ₹19,534 cash (30% allocation)
2026-05-30 20:52:41 | constructor          | INFO    | Portfolio on 2020-05-08: 5 stocks, ₹6,315 invested, ₹17,961 cash (30% allocation)
2026-05-30 20:52:52 | constructor          | INFO    | Portfolio on 2020-05-15: 5 stocks, ₹6,257 invested, ₹18,178 cash (30% allocation)
2026-05-30 20:53:04 | constructor          | INFO    | Portfolio on 2020-05-22: 5 stocks, ₹6,836 invested, ₹17,462 cash (30% allocation)
2026-05-30 20:53:16 | constructor          | INFO    | Portfolio on 2020-05-29: 4 stocks, ₹5,155 invested, ₹19,415 cash (30% allocation)
2026-05-30 20:53:29 | constructor          | INFO    | Portfolio on 2020-06-05: 5 stocks, ₹6,557 invested, ₹18,085 cash (30% allocation)
2026-05-30 20:53:41 | constructor          | INFO    | Portfolio on 2020-06-12: 5 stocks, ₹6,619 invested, ₹18,033 cash (30% allocation)
2026-05-30 20:53:53 | constructor          | INFO    | Portfolio on 2020-06-19: 5 stocks, ₹6,595 invested, ₹17,939 cash (30% allocation)
2026-05-30 20:54:05 | constructor          | INFO    | Portfolio on 2020-06-26: 3 stocks, ₹4,156 invested, ₹20,463 cash (30% allocation)
2026-05-30 20:54:17 | constructor          | INFO    | Portfolio on 2020-07-03: 3 stocks, ₹3,591 invested, ₹20,891 cash (30% allocation)
2026-05-30 20:54:29 | constructor          | INFO    | Portfolio on 2020-07-10: 4 stocks, ₹5,151 invested, ₹19,161 cash (30% allocation)
2026-05-30 20:54:42 | constructor          | INFO    | Portfolio on 2020-07-17: 5 stocks, ₹15,397 invested, ₹8,660 cash (70% allocation)
2026-05-30 20:54:54 | constructor          | INFO    | Portfolio on 2020-07-24: 4 stocks, ₹11,833 invested, ₹12,474 cash (70% allocation)
2026-05-30 20:55:07 | constructor          | INFO    | Portfolio on 2020-07-31: 5 stocks, ₹15,805 invested, ₹8,720 cash (70% allocation)
2026-05-30 20:55:19 | constructor          | INFO    | Portfolio on 2020-08-07: 5 stocks, ₹15,720 invested, ₹9,371 cash (70% allocation)
2026-05-30 20:55:31 | constructor          | INFO    | Portfolio on 2020-08-14: 5 stocks, ₹16,751 invested, ₹9,772 cash (70% allocation)
