2026-05-30 20:02:46 | risk_manager         | INFO    | TRAILING STOP: ICICIBANK @ 171.71 (stop=176.78)
2026-05-30 20:02:46 | risk_manager         | INFO    | TRAILING STOP: KOTAKBANK @ 65.43 (stop=65.54)
2026-05-30 20:02:46 | risk_manager         | INFO    | TRAILING STOP: ITC @ 120.63 (stop=122.03)
2026-05-30 20:02:46 | risk_manager         | INFO    | TRAILING STOP: ASIANPAINT @ 394.16 (stop=398.04)
2026-05-30 20:02:46 | risk_manager         | INFO    | TRAILING STOP: TATACONSUM @ 111.64 (stop=111.76)
2026-05-30 20:02:46 | risk_manager         | INFO    | TRAILING STOP: HDFCBANK @ 144.23 (stop=145.30)
2026-05-30 20:02:46 | risk_manager         | INFO    | TRAILING STOP: INDUSINDBK @ 383.04 (stop=388.75)
2026-05-30 20:02:49 | risk_manager         | INFO    | TRAILING STOP: SHREECEM @ 3960.01 (stop=3968.41)
2026-05-30 20:02:49 | risk_manager         | INFO    | TRAILING STOP: ICICIBANK @ 167.23 (stop=169.71)
2026-05-30 20:02:49 | risk_manager         | INFO    | TRAILING STOP: KOTAKBANK @ 63.25 (stop=63.94)
2026-05-30 20:02:49 | risk_manager         | INFO    | TRAILING STOP: APOLLOHOSP @ 754.43 (stop=756.43)
2026-05-30 20:02:49 | risk_manager         | INFO    | TRAILING STOP: AXISBANK @ 245.41 (stop=247.55)
2026-05-30 20:02:49 | risk_manager         | INFO    | TRAILING STOP: DIVISLAB @ 428.96 (stop=433.38)
2026-05-30 20:02:49 | risk_manager         | INFO    | TRAILING STOP: INDUSINDBK @ 375.27 (stop=379.36)
2026-05-30 20:02:49 | risk_manager         | INFO    | TRAILING STOP: BPCL @ 29.84 (stop=29.87)
2026-05-30 20:02:49 | risk_manager         | INFO    | TRAILING STOP: BAJFINANCE @ 11.12 (stop=11.42)
2026-05-30 20:02:49 | risk_manager         | INFO    | TRAILING STOP: TECHM @ 182.89 (stop=183.27)
2026-05-30 20:02:49 | risk_manager         | INFO    | TRAILING STOP: EICHERMOT @ 235.55 (stop=236.42)
2026-05-30 20:02:51 | risk_manager         | INFO    | TIME STOP: HCLTECH after 60 days (max=60)
2026-05-30 20:02:51 | risk_manager         | INFO    | TRAILING STOP: TECHM @ 171.96 (stop=173.97)
2026-05-30 20:02:51 | risk_manager         | INFO    | TRAILING STOP: ITC @ 120.34 (stop=121.08)
2026-05-30 20:02:51 | risk_manager         | INFO    | TRAILING STOP: TCS @ 549.61 (stop=549.76)
2026-05-30 20:02:51 | risk_manager         | INFO    | TRAILING STOP: ASIANPAINT @ 414.08 (stop=426.74)
2026-05-30 20:02:51 | risk_manager         | INFO    | TRAILING STOP: INFY @ 253.70 (stop=255.75)
2026-05-30 20:02:51 | risk_manager         | INFO    | TRAILING STOP: INDUSINDBK @ 359.93 (stop=361.20)
2026-05-30 20:02:51 | risk_manager         | INFO    | TIME STOP: SUNPHARMA after 60 days (max=60)
2026-05-30 20:02:54 | risk_manager         | INFO    | TRAILING STOP: ASIANPAINT @ 415.54 (stop=416.12)
