2026-05-30 20:10:26 | rebalancer           | INFO    | Rebalance on 2013-07-26: 4 buys (₹37,196), 4 sells (₹37,818), 0 holds, turnover=57.7%
2026-05-30 20:10:29 | rebalancer           | INFO    | Rebalance on 2013-08-02: 4 buys (₹23,025), 4 sells (₹47,060), 0 holds, turnover=91.2%
2026-05-30 20:10:31 | rebalancer           | INFO    | Rebalance on 2013-08-08: 3 buys (₹17,418), 4 sells (₹17,693), 1 holds, turnover=65.1%
2026-05-30 20:10:34 | rebalancer           | INFO    | Rebalance on 2013-08-16: 2 buys (₹9,607), 2 sells (₹9,678), 3 holds, turnover=35.3%
2026-05-30 20:10:37 | rebalancer           | INFO    | Rebalance on 2013-08-23: 5 buys (₹23,183), 3 sells (₹17,636), 0 holds, turnover=107.7%
2026-05-30 20:10:40 | rebalancer           | INFO    | Rebalance on 2013-08-30: 2 buys (₹6,027), 1 sells (₹4,948), 3 holds, turnover=23.8%
2026-05-30 20:10:43 | rebalancer           | INFO    | Rebalance on 2013-09-06: 3 buys (₹10,799), 1 sells (₹5,727), 2 holds, turnover=50.0%
2026-05-30 20:10:46 | rebalancer           | INFO    | Rebalance on 2013-09-13: 5 buys (₹63,432), 5 sells (₹28,071), 0 holds, turnover=226.0%
2026-05-30 20:10:49 | rebalancer           | INFO    | Rebalance on 2013-09-20: 2 buys (₹26,357), 4 sells (₹27,421), 1 holds, turnover=42.6%
2026-05-30 20:10:52 | rebalancer           | INFO    | Rebalance on 2013-09-27: 5 buys (₹26,776), 5 sells (₹64,255), 0 holds, turnover=100.0%
2026-05-30 20:10:55 | rebalancer           | INFO    | Rebalance on 2013-10-04: 5 buys (₹63,496), 5 sells (₹26,839), 0 holds, turnover=236.6%
2026-05-30 20:10:58 | rebalancer           | INFO    | Rebalance on 2013-10-11: 2 buys (₹26,934), 4 sells (₹27,842), 1 holds, turnover=41.7%
2026-05-30 20:11:01 | rebalancer           | INFO    | Rebalance on 2013-10-18: 5 buys (₹51,535), 4 sells (₹52,212), 0 holds, turnover=79.3%
2026-05-30 20:11:04 | rebalancer           | INFO    | Rebalance on 2013-10-25: 5 buys (₹38,011), 3 sells (₹38,183), 0 holds, turnover=58.3%
2026-05-30 20:11:07 | rebalancer           | INFO    | Rebalance on 2013-11-01: 5 buys (₹77,558), 4 sells (₹50,754), 0 holds, turnover=117.8%
2026-05-30 20:11:10 | rebalancer           | INFO    | Rebalance on 2013-11-08: 4 buys (₹51,642), 5 sells (₹78,901), 0 holds, turnover=85.2%
2026-05-30 20:11:13 | rebalancer           | INFO    | Rebalance on 2013-11-14: 4 buys (₹37,510), 3 sells (₹38,094), 1 holds, turnover=58.7%
2026-05-30 20:11:17 | rebalancer           | INFO    | Rebalance on 2013-11-22: 4 buys (₹52,774), 4 sells (₹52,666), 1 holds, turnover=83.5%
2026-05-30 20:11:20 | rebalancer           | INFO    | Rebalance on 2013-11-29: 5 buys (₹61,327), 3 sells (₹39,444), 0 holds, turnover=122.8%
2026-05-30 20:11:23 | rebalancer           | INFO    | Rebalance on 2013-12-06: 4 buys (₹37,494), 3 sells (₹31,607), 0 holds, turnover=65.8%
2026-05-30 20:11:27 | rebalancer           | INFO    | Rebalance on 2013-12-13: 5 buys (₹62,592), 5 sells (₹61,796), 0 holds, turnover=101.3%
2026-05-30 20:11:30 | rebalancer           | INFO    | Rebalance on 2013-12-20: 4 buys (₹51,576), 5 sells (₹52,528), 0 holds, turnover=80.9%
2026-05-30 20:11:33 | rebalancer           | INFO    | Rebalance on 2013-12-27: 1 buys (₹443), 3 sells (₹1,362), 1 holds, turnover=2.1%
2026-05-30 20:11:36 | rebalancer           | INFO    | Rebalance on 2014-01-03: 5 buys (₹50,108), 4 sells (₹50,244), 0 holds, turnover=77.8%
2026-05-30 20:11:40 | rebalancer           | INFO    | Rebalance on 2014-01-10: 5 buys (₹45,731), 2 sells (₹24,818), 0 holds, turnover=91.5%
2026-05-30 20:11:43 | rebalancer           | INFO    | Rebalance on 2014-01-17: 3 buys (₹41,621), 3 sells (₹27,582), 1 holds, turnover=70.8%
2026-05-30 20:11:46 | rebalancer           | INFO    | Rebalance on 2014-01-24: 3 buys (₹38,814), 5 sells (₹49,270), 0 holds, turnover=67.8%
2026-05-30 20:11:50 | rebalancer           | INFO    | Rebalance on 2014-01-31: 4 buys (₹26,942), 2 sells (₹19,263), 0 holds, turnover=101.4%
2026-05-30 20:11:53 | rebalancer           | INFO    | Rebalance on 2014-02-07: 5 buys (₹28,500), 2 sells (₹12,538), 0 holds, turnover=104.4%
2026-05-30 20:11:57 | rebalancer           | INFO    | Rebalance on 2014-02-14: 5 buys (₹17,875), 1 sells (₹8,908), 0 holds, turnover=52.2%
2026-05-30 20:12:00 | rebalancer           | INFO    | Rebalance on 2014-02-21: 3 buys (₹10,914), 3 sells (₹11,283), 0 holds, turnover=25.6%
2026-05-30 20:12:03 | rebalancer           | INFO    | Rebalance on 2014-02-28: 5 buys (₹53,622), 1 sells (₹10,254), 0 holds, turnover=118.1%
2026-05-30 20:12:07 | rebalancer           | INFO    | Rebalance on 2014-03-07: 3 buys (₹32,119), 3 sells (₹31,276), 0 holds, turnover=63.2%
2026-05-30 20:12:10 | rebalancer           | INFO    | Rebalance on 2014-03-14: 3 buys (₹27,382), 4 sells (₹27,194), 0 holds, turnover=65.8%
2026-05-30 20:12:14 | rebalancer           | INFO    | Rebalance on 2014-03-21: 1 buys (₹9,356), 3 sells (₹9,301), 2 holds, turnover=22.2%
2026-05-30 20:12:17 | rebalancer           | INFO    | Rebalance on 2014-03-28: 4 buys (₹27,395), 4 sells (₹26,848), 0 holds, turnover=65.1%
2026-05-30 20:12:21 | rebalancer           | INFO    | Rebalance on 2014-04-04: 5 buys (₹24,857), 3 sells (₹25,575), 0 holds, turnover=59.7%
